#name	chromosome	start	length	color	full_name	citations_from_2021_02_10_to_2021_07_15	significance
GT(ROSA)26SOR	6	113047360	6845	#73af42	gene trap ROSA 26, Philippe Soriano	76	
MKI67	7	135291517	26591	#73af42	antigen identified by monoclonal antibody Ki 67	32	
CASP3	8	47070326	22407	#73af42	caspase 3	27	
SOX2	3	34704144	2465	#73af42	SRY (sex determining region Y)-box 2	25	
TRP53	11	69471185	11514	#73af42	transformation related protein 53	23	
PAX6	2	105512808	15947	#73af42	paired box 6	20	
NLRP3	11	59433512	24267	#73af42	NLR family, pyrin domain containing 3	18	
BCL11B	12	107876662	93011	#73af42	B cell leukemia/lymphoma 11B	17	
EOMES	9	118307257	7943	#73af42	eomesodermin	17	
PECAM1	11	106545039	61068	#73af42	platelet/endothelial cell adhesion molecule 1	16	
PVALB	15	78075312	15288	#73af42	parvalbumin	16	
TLR4	4	66745788	19030	#73af42	toll-like receptor 4	16	
SOX9	11	112673036	5547	#73af42	SRY (sex determining region Y)-box 9	15	
APC	18	34380747	74496	#73af42	APC, WNT signaling pathway regulator	15	
RBFOX3	11	118380586	421837	#73af42	RNA binding protein, fox-1 homolog (C. elegans) 3	14	
ISL1	13	116434806	11418	#73af42	ISL1 transcription factor, LIM/homeodomain	14	
KRAS	6	145162425	33532	#73af42	Kirsten rat sarcoma viral oncogene homolog	14	
SATB2	1	56833140	186267	#73af42	special AT-rich sequence binding protein 2	13	
LYZ2	10	117113446	4731	#73af42	lysozyme 2	13	
TRPV1	11	73124975	27173	#73af42	transient receptor potential cation channel, subfamily V, member 1	13	
HIF1A	12	73954641	39687	#73af42	hypoxia inducible factor 1, alpha subunit	13	
OLIG2	16	91022438	3127	#73af42	oligodendrocyte transcription factor 2	13	
TBR1	2	61634797	9660	#73af42	T-box brain transcription factor 1	13	
SHH	5	28661838	10261	#73af42	sonic hedgehog	13	
TUBB3	8	124138292	10462	#73af42	tubulin, beta 3 class III	13	
CX3CR1	9	119877749	19613	#73af42	chemokine (C-X3-C motif) receptor 1	13	
GFAP	11	102780992	7034	#73af42	glial fibrillary acidic protein	12	
NEFM	14	68356994	5459	#73af42	neurofilament, medium polypeptide	12	
MTOR	4	148533039	109103	#73af42	mechanistic target of rapamycin kinase	12	
CUX1	5	136295264	301080	#73af42	cut-like homeobox 1	12	
EMX1	6	85164913	16532	#73af42	empty spiracles homeobox 1	12	
TJP1	7	64945913	75079	#73af42	tight junction protein 1	12	
ACE2	X	162923476	47938	#73af42	angiotensin I converting enzyme (peptidyl-dipeptidase A) 2	12	
GLI1	10	127165751	11697	#73af42	GLI-Kruppel family member GLI1	11	
APP	16	84751324	219271	#73af42	amyloid beta (A4) precursor protein	11	
CDKN1A	17	29312743	6953	#73af42	cyclin-dependent kinase inhibitor 1A (P21)	11	
A1CF	19	31846213	83552	#73af42	APOBEC1 complementation factor	11	
NDOR1	2	25134825	10601	#73af42	NADPH dependent diflavin oxidoreductase 1	11	
NOTCH1	2	26347914	45920	#73af42	notch 1	11	
NFE2L2	2	75521396	13611	#73af42	nuclear factor, erythroid derived 2, like 2	11	
APOE	7	19430169	2944	#73af42	apolipoprotein E	11	
CTNNB1	9	120762644	26929	#73af42	catenin (cadherin associated protein), beta 1	11	
IL10	1	130947582	5125	#73af42	interleukin 10	10	
MAPT	11	104122262	100653	#73af42	microtubule-associated protein tau	10	
POMC	12	4004945	5698	#73af42	pro-opiomelanocortin-alpha	10	
NKX2-1	12	56578721	4972	#73af42	NK2 homeobox 1	10	
CHAT	14	32130160	57706	#73af42	choline acetyltransferase	10	
MAPK1	16	16801246	64071	#73af42	mitogen-activated protein kinase 1	10	
C3	17	57510967	24169	#73af42	complement component 3	10	
PAX2	19	44745345	81363	#73af42	paired box 2	10	
NR5A1	2	38582672	21882	#73af42	nuclear receptor subfamily 5, group A, member 1	10	
IL1B	2	129206498	6561	#73af42	interleukin 1 beta	10	
BMP2	2	133394079	10737	#73af42	bone morphogenetic protein 2	10	
NES	3	87878400	9358	#73af42	nestin	10	
PITX2	3	129007581	5662	#73af42	paired-like homeodomain transcription factor 2	10	
PAX7	4	139465392	94887	#73af42	paired box 7	10	
CXCL12	6	117145496	12833	#73af42	chemokine (C-X-C motif) ligand 12	10	
TGFB1	7	25386427	18075	#73af42	transforming growth factor, beta 1	10	
MAPK3	7	126358798	6190	#73af42	mitogen-activated protein kinase 3	10	
BAG3	7	128125307	23396	#73af42	BCL2-associated athanogene 3	10	
DES	1	75336936	8287	#73af42	desmin	9	
LGR5	10	115286219	137466	#73af42	leucine rich repeat containing G protein coupled receptor 5	9	
TRPV2	11	62466453	24676	#73af42	transient receptor potential cation channel, subfamily V, member 2	9	
ERN1	11	106288446	90176	#73af42	endoplasmic reticulum (ER) to nucleus signalling 1	9	
SOX11	12	27384267	8450	#73af42	SRY (sex determining region Y)-box 11	9	
VSX2	12	84616602	25629	#73af42	visual system homeobox 2	9	
AKT1	12	112620255	21063	#73af42	thymoma viral proto-oncogene 1	9	
SPEER6-PS1	13	3199475	40203	#73af42	spermatogenesis associated glutamate (E)-rich protein 6, pseudogene 1	9	
SMAD5	13	56851481	38710	#73af42	SMAD family member 5	9	
NTRK2	13	58955511	326273	#73af42	neurotrophic tyrosine kinase, receptor, type 2	9	
OTX2	14	48895134	9967	#73af42	orthodenticle homeobox 2	9	
HAS2	15	56529023	28919	#73af42	hyaluronan synthase 2	9	
SST	16	23708331	1263	#73af42	somatostatin	9	
SOD1	16	90017650	5571	#73af42	superoxide dismutase 1, soluble	9	
NKX2-5	17	27057639	2900	#73af42	NK2 homeobox 5	9	
TREM2	17	48653429	5875	#73af42	triggering receptor expressed on myeloid cells 2	9	
CDH2	18	16721934	220369	#73af42	cadherin 2	9	
STING1	18	35866731	6876	#73af42	stimulator of interferon response cGAMP interactor 1	9	
NR3C1	18	39543598	108876	#73af42	nuclear receptor subfamily 3, group C, member 1	9	
PDGFRB	18	61178222	39917	#73af42	platelet derived growth factor receptor, beta polypeptide	9	
ACTA2	19	34217736	15037	#73af42	actin alpha 2, smooth muscle, aorta	9	
GAD1	2	70392473	39885	#73af42	glutamate decarboxylase 1	9	
AMBRA1	2	91560483	188711	#73af42	autophagy/beclin 1 regulator 1	9	
FOXO1	3	52175758	81772	#73af42	forkhead box O1	9	
CALB1	4	15881264	25445	#73af42	calbindin 1	9	
RUNX3	4	134879856	25442	#73af42	runt related transcription factor 3	9	
IL6	5	30218112	6861	#73af42	interleukin 6	9	
MSX1	5	37977835	4094	#73af42	msh homeobox 1	9	
PDGFRA	5	75316827	42040	#73af42	platelet derived growth factor receptor, alpha polypeptide	9	
TBX3	5	119809298	13491	#73af42	T-box 3	9	
TAC1	6	7555061	7917	#73af42	tachykinin 1	9	
BRAF	6	39580171	122226	#73af42	Braf transforming gene	9	
USP18	6	121222865	25011	#73af42	ubiquitin specific peptidase 18	9	
NR2F2	7	70001698	14796	#73af42	nuclear receptor subfamily 2, group F, member 2	9	
NTRK3	7	77950439	277147	#73af42	neurotrophic tyrosine kinase, receptor, type 3	9	
CD19	7	126007620	6422	#73af42	CD19 antigen	9	
FUS	7	127566651	14552	#73af42	fused in sarcoma	9	
MRGPRD	7	144868572	9224	#73af42	MAS-related GPR, member D	9	
SMAD1	8	80065026	61031	#73af42	SMAD family member 1	9	
UCP1	8	84016977	8108	#73af42	uncoupling protein 1 (mitochondrial, proton carrier)	9	
YAP1	9	7932001	72596	#73af42	yes-associated protein 1	9	
OGT	X	100683824	44133	#73af42	O-linked N-acetylglucosamine (GlcNAc) transferase (UDP-N-acetylglucosamine:polypeptide-N-acetylglucosaminyl transferase)	9	
TRPA1	1	14942868	46218	#73af42	transient receptor potential cation channel, subfamily A, member 1	8	
IL17A	1	20801129	3591	#73af42	interleukin 17A	8	
ACKR3	1	90131702	11742	#73af42	atypical chemokine receptor 3	8	
VPS4B	1	106698518	25937	#73af42	vacuolar protein sorting 4B	8	
EN1	1	120530216	5504	#73af42	engrailed 1	8	
TNNT2	1	135768599	11400	#73af42	troponin T2, cardiac	8	
PTPRC	1	137990597	112446	#73af42	protein tyrosine phosphatase, receptor type, C	8	
LMX1A	1	167517127	159175	#73af42	LIM homeobox transcription factor 1 alpha	8	
VANGL2	1	171828527	26335	#73af42	VANGL planar cell polarity 2	8	
ATF3	1	190902494	13036	#73af42	activating transcription factor 3	8	
FOXO3	10	42057841	94850	#73af42	forkhead box O3	8	
SIM1	10	50771747	93501	#73af42	single-minded family bHLH transcription factor 1	8	
ASCL1	10	87326681	2841	#73af42	achaete-scute family bHLH transcription factor 1	8	
NR1H4	10	89290235	79230	#73af42	nuclear receptor subfamily 1, group H, member 4	8	
SQSTM1	11	50090979	10668	#73af42	sequestosome 1	8	
RCVRN	11	67586152	8029	#73af42	recoverin	8	
NTN1	11	68100190	177462	#73af42	netrin 1	8	
POLR2A	11	69624825	24634	#73af42	polymerase (RNA) II (DNA directed) polypeptide A	8	
TBX2	11	85723441	9333	#73af42	T-box 2	8	
COL1A1	11	94827050	16818	#73af42	collagen, type I, alpha 1	8	
KRT10	11	99276081	4109	#73af42	keratin 10	8	
KRT14	11	100093988	4348	#73af42	keratin 14	8	
STAT3	11	100777632	52734	#73af42	signal transducer and activator of transcription 3	8	
AXIN2	11	108811175	30432	#73af42	axin 2	8	
MYCN	12	12986094	5743	#73af42	v-myc avian myelocytomatosis viral related oncogene, neuroblastoma derived	8	
SIX1	12	73088601	4885	#73af42	sine oculis-related homeobox 1	8	
SOX4	13	29132903	4779	#73af42	SRY (sex determining region Y)-box 4	8	
NEUROG1	13	56398296	1697	#73af42	neurogenin 1	8	
PTCH1	13	63656142	65132	#73af42	patched 1	8	
VCL	14	20979466	104278	#73af42	vinculin	8	
MYH7	14	55208141	23942	#73af42	myosin, heavy polypeptide 7, cardiac muscle, beta	8	
RIPK3	14	56022452	3862	#73af42	receptor-interacting serine-threonine kinase 3	8	
CTSB	14	63359911	23461	#73af42	cathepsin B	8	
MIR33	15	82082323	68	#73af42	microRNA 33	8	
PPARA	15	85619977	71075	#73af42	peroxisome proliferator activated receptor alpha	8	
