## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
ACE2	88	-82	1	1
TP53	68	-115	2	-1
CD274	67	-94	3	0
EGFR	58	-61	4	0
IL6	43	-53	5	0
PDCD1	37	-33	6	3
HIF1A	36	-47	7	-1
VEGFA	34	-25	8	6
TNF	33	-39	9	-1
NFE2L2	31	-38	10	0
TGFB1	31	-34	10	1
VDR	31	-22	10	15
APOE	30	-25	13	9
BRCA1	30	-11	13	25
KRAS	29	-34	15	-3
BRCA2	28	-6	16	37
YAP1	27	-30	17	2
SIRT1	27	-31	17	-1
BRAF	25	-26	19	7
IL1B	25	-24	19	10
STAT3	25	-55	19	-12
TLR4	25	-10	19	29
TMPRSS2	25	-13	19	24
NLRP3	25	-31	19	2
CTNNB1	24	-34	25	-9
HMGB1	24	-10	25	28
ERBB2	23	-36	27	-13
DNMT3A	22	4	28	147
LGALS3	22	-5	28	52
MAPT	22	-19	28	10
MTOR	21	-34	31	-9
PIK3CA	21	-5	31	55
PTEN	21	-36	31	-12
ADIPOQ	21	-14	31	17
AKT1	20	-43	35	-23
CRP	20	-29	35	-6
IL10	20	-34	35	-11
APP	19	-24	38	-3
BDNF	19	-23	38	-2
CD44	19	-10	38	31
IGF1	19	-9	38	36
MTHFR	19	-12	38	23
C9orf72	19	-2	38	90
CDKN1A	18	-11	44	25
LMNA	18	1	44	163
MMP9	18	-27	44	-10
PARP1	17	-25	47	-11
CAV1	17	-1	47	128
CFTR	17	-20	47	-1
LCN2	17	-2	47	106
PPARG	17	-11	47	27
CCL2	17	-14	47	14
SNCA	17	-33	47	-19
CXCR4	17	-18	47	1
NAMPT	17	3	47	271
FOXP3	17	-11	47	27
FTO	17	-13	47	19
PCSK9	17	-16	47	8
MIR146A	17	-14	47	14
AR	16	-31	60	-28
CDK1	16	3	60	323
ESR1	16	-32	60	-29
GSK3B	16	-5	60	68
JAK2	16	-12	60	14
ADAM17	16	1	60	215
TARDBP	16	-23	60	-19
TET2	16	3	60	323
NEAT1	16	-17	60	-5
MIR29A	16	-2	60	115
FMR1	15	-2	70	137
GJA1	15	-3	70	105
CFH	15	-2	70	137
MKI67	15	-1	70	170
MMP2	15	-13	70	4
MYC	15	-43	70	-54
ABCB1	15	-11	70	16
RB1	15	1	70	248
SOX2	15	-9	70	32
ZEB1	15	-7	70	48
PPARGC1A	15	2	70	313
IL27	15	3	70	399
MIR20A	15	5	70	667
AGER	14	-5	83	70
CCND1	14	-13	83	-3
BCL2	14	-24	83	-40
CALR	14	1	83	300
CDKN2A	14	-26	83	-43
EZH2	14	-32	83	-50
IL17A	14	-23	83	-37
CXCL10	14	-15	83	-14
LDHA	14	3	83	508
LEP	14	-9	83	28
KMT2A	14	-2	83	157
SCN5A	14	-8	83	35
SMARCA4	14	-11	83	10
SPP1	14	-8	83	35
TERT	14	-17	83	-22
MIR21	14	-37	83	-57
AHR	13	-10	99	12
BSG	13	-1	99	219
CASP1	13	1	99	370
CYP3A4	13	1	99	370
DDX3X	13	0	99	284
DSG2	13	2	99	492
EGF	13	3	99	638
FKBP5	13	2	99	492
GPX4	13	5	99	1172
NR3C1	13	-3	99	141
HDAC1	13	-4	99	108
HK2	13	-6	99	54
IGF1R	13	-6	99	54
LDLR	13	-6	99	54
MGMT	13	-10	99	12
MMP1	13	-1	99	219
MUC1	13	-3	99	141
NFKB1	13	-25	99	-56
NOTCH1	13	-19	99	-42
PLK1	13	-6	99	54
POU5F1	13	1	99	370
SCN1A	13	-1	99	219
CXCL12	13	-14	99	-19
SLC6A4	13	-10	99	12
SOD1	13	-8	99	29
ARID1A	13	-4	99	108
SQSTM1	13	-8	99	29
GDF15	13	-22	99	-51
CTCF	13	-6	99	54
BRD4	13	-4	99	108
DDX58	13	-8	99	29
METTL3	13	-13	99	-13
MIR155	13	-19	99	-42
APEX1	12	-4	132	108
CDH1	12	-18	132	-66
CCR5	12	-2	132	186
COMT	12	-13	132	-39
CYP2D6	12	4	132	1139
ACE	12	-6	132	43
EPAS1	12	0	132	337
ERCC6	12	1	132	459
FUS	12	-13	132	-39
PDIA3	12	2	132	605
HLA-DRB1	12	-5	132	75
HMOX1	12	-17	132	-63
IFNG	12	-23	132	-84
CXCL8	12	-12	132	-30
IL13	12	-5	132	75
MDM2	12	-13	132	-39
NCAM1	12	0	132	337
PKM	12	-12	132	-30
MAPK1	12	-6	132	43
PTGS2	12	-5	132	75
PTK2	12	-3	132	143
PTX3	12	-7	132	21
PVT1	12	-4	132	108
RAD51	12	1	132	459
S100A9	12	-8	132	15
SMN1	12	-5	132	75
SOX9	12	-9	132	-4
TCF7L2	12	1	132	459
TLR3	12	-6	132	43
TTN	12	2	132	605
VHL	12	0	132	337
WNT5A	12	-8	132	15
XRCC1	12	-1	132	251
PLOD3	12	6	132	3010
KLF4	12	-5	132	75
EIF2AK3	12	4	132	1139
DICER1	12	-10	132	-14
FGF21	12	-12	132	-30
IL37	12	-3	132	143
YTHDF2	12	1	132	459
PINK1	12	-3	132	143
PNPLA3	12	-3	132	143
IL33	12	-10	132	-14
CGAS	12	-7	132	21
STING1	12	-17	132	-63
MIR126	12	-12	132	-30
MIR145	12	-11	132	-21
ASIC1	11	1	179	558
ADAR	11	-5	179	61
JAG1	11	4	179	1743
ALDH2	11	-7	179	-4
APC	11	-6	179	28
BIRC5	11	-7	179	-4
ATP7B	11	0	179	412
BLM	11	0	179	412
BMI1	11	0	179	412
SCARB1	11	1	179	558
CDH2	11	1	179	558
CDK6	11	-8	179	-26
CHI3L1	11	-6	179	28
CTLA4	11	-14	179	-86
EPHA2	11	-2	179	204
EPO	11	-1	179	290
ERCC1	11	3	179	1092
FOXO1	11	-4	179	96
FOXO3	11	-12	179	-68
FLT1	11	1	179	558
GLS	11	1	179	558
GSTM1	11	-2	179	204
HTT	11	-8	179	-26
HLA-A	11	-21	179	-122
HOXA13	11	5	179	2963
HSPA5	11	-13	179	-77
HSPA8	11	-6	179	28
