title	gene_symbol.value
Apc,_wnt_signaling_pathway_regulator	APC
Factor_VII	F7
Cystatin_C	CST3
Granulocyte_colony-stimulating_factor	CSF3
Adenosine_deaminase	ADA
Insulin_receptor	INSR
Acrosin	ACR
Lactoferrin	LTF
Cytochrome_c	CYCS
Bcl-2-associated_X_protein	BAX
Corticotropin-releasing_hormone	CRH
Vasoactive_intestinal_peptide	VIP
Amyloid-beta_precursor_protein	APP
Desmin	DES
Galanin	GAL
Glucose-6-phosphate_isomerase	GPI
Epidermal_growth_factor	EGF
Dihydrolipoamide_dehydrogenase	DLD
Factor_XI	F11
Lysyl_oxidase	LOX
Tissue_factor	F3
Aromatase	CYP19A1
CCR5	CCR5
Hemojuvelin	HJV
Lactoperoxidase	LPO
Pancreatic_polypeptide	PPY
Beta-2_microglobulin	B2M
Histamine_H3_receptor	HRH3
Factor_XII	F12
Adenine_phosphoribosyltransferase	APRT
Intrinsic_factor	CBLIF
SETD3_(gene)	SETD3
Tricarboxylate_transport_protein,_mitochondrial	SLC25A1
TXNIP	TXNIP
Asparagine_synthetase	ASNS
Mu_hemoglobin	HBM
Glycoprotein_130	IL6ST
Integrin_alpha_X	ITGAX
Ataxia_telangiectasia_and_Rad3_related	ATR
CCL7	CCL7
Collagen,_type_II,_alpha_1	COL2A1
Aldolase_A	ALDOA
CCL2	CCL2
RAD51	RAD51
Thyrotropin_receptor	TSHR
CD53	CD53
Collagen,_type_I,_alpha_2	COL1A2
Collagen,_type_V,_alpha_2	COL5A2
MEN1	MEN1
Diacylglycerol_lipase	DAGLA
CD1b	CD1B
Cav1.1	CACNA1S
CCR1	CCR1
ENTPD1	ENTPD1
Adenylate_kinase_1	AK1
CD40_(protein)	CD40
AMY2A	AMY2A
Twinkle_(protein)	TWNK
Apelin	APLN
Cytochrome_P450_reductase	POR
UPF0488	C8orf33
Desmoplakin	DSP
Vitamin_D-binding_protein	GC
CD43	SPN
Glycogen_debranching_enzyme	AGL
Prohibitin	PHB
Leukemia_inhibitory_factor	LIF
LYN	LYN
Human_serum_albumin	ALB
Bile_salt-dependent_lipase	CEL
Anti-Müllerian_hormone	AMH
Collagen,_type_VIII,_alpha_1	COL8A1
Guanine_deaminase	GDA
C3orf62	C3orf62
C1orf127	C1orf127
IGSF2	CD101
CCL1	CCL1
Pyruvate_carboxylase	PC
Sucrase-isomaltase	SI
Citrate_synthase	CS
Argininosuccinate_lyase	ASL
Carbamoyl_phosphate_synthetase_I	CPS1
ABCA1	ABCA1
Proto-oncogene_tyrosine-protein_kinase_Src	SRC
Lipoprotein(a)	LPA
COX10	COX10
DLX6	DLX6
Coagulation_factor_II_receptor	F2R
GRIA4	GRIA4
Metabotropic_glutamate_receptor_7	GRM7
Metabotropic_glutamate_receptor_8	GRM8
LYVE1	LYVE1
TIA1	TIA1
MRNA_(guanine-N7-)-methyltransferase	RNMT
40S_ribosomal_protein_S4,_Y_isoform_2	RPS4Y2
Humanin	RNR2
Separase	ESPL1
KCNQ4	KCNQ4
Killer_cell_immunoglobulin-like_receptor_2DL3	KIR2DL3
Interleukin_23_subunit_alpha	IL23A
Plakoglobin	JUP
FAM71E2	FAM71E2
Follistatin_like_5	FSTL5
FRMPD4	FRMPD4
Neuropeptide_VF_precursor	NPVF
OFD1	OFD1
Notch_regulated_ankyrin_repeat_protein	NRARP
NFAT5	NFAT5
NUDT15	NUDT15
NLK	NLK
SMURF1	SMURF1
Choline_transporter-like_protein_1	SLC44A1
Espin_(protein)	ESPN
Neuropeptide_W	NPW
Tyrosine_hydroxylase	TH
Hormone-sensitive_lipase	LIPE
TFAP2E	TFAP2E
UPK2	UPK2
WASL_(gene)	WASL
UPK1B	UPK1B
ADAMTS17	ADAMTS17
PARP1	PARP1
APAF1	APAF1
ABCA4	ABCA4
BAAT	BAAT
SGEF	ARHGEF26
CTDP1	CTDP1
SLIT1	SLIT1
SMIM11A	SMIM11
CCL4	CCL4L1
Fcα/μR	FCAMR
AGPAT9	GPAT3
ARL6	ARL6
