tpage_name	gene_symbol
p53	TP53
Tumor_necrosis_factor	TNF
Ubiquitin_C	UBC
Apolipoprotein_E	APOE
Epidermal_growth_factor_receptor	EGFR
Vascular_endothelial_growth_factor_A	VEGFA
Interleukin_6	IL6
TGF_beta_1	TGFB1
Methylenetetrahydrofolate_reductase	MTHFR
Estrogen_receptor_alpha	ESR1
HLA-DRB1	HLA-DRB1
NFKB1	NFKB1
Interleukin_10	IL10
Angiotensin-converting_enzyme	ACE
BRCA1	BRCA1
Interleukin_1_beta	IL1B
AKT1	AKT1
Amyloid-beta_precursor_protein	APP
HIF1A	HIF1A
MMP9	MMP9
Glutathione_S-transferase_Mu_1	GSTM1
CD4	CD4
HER2/neu	ERBB2
Prostaglandin-endoperoxide_synthase_2	PTGS2
Serotonin_transporter	SLC6A4
HLA-B	HLA-B
CDKN2A	CDKN2A
Androgen_receptor	AR
Beta-catenin	CTNNB1
P-glycoprotein	ABCB1
Interleukin_8	CXCL8
Peroxisome_proliferator-activated_receptor_gamma	PPARG
Endothelial_NOS	NOS3
MAPK1	MAPK1
Adiponectin	ADIPOQ
TLR4	TLR4
STAT3	STAT3
Interferon_gamma	IFNG
C-reactive_protein	CRP
Bcl-2	BCL2
Catechol-O-methyltransferase	COMT
Vitamin_D_receptor	VDR
CXCR4	CXCR4
PTEN_(gene)	PTEN
HLA-DQB1	HLA-DQB1
CCR5	CCR5
CDH1_(gene)	CDH1
KRAS	KRAS
Insulin-like_growth_factor_1	IGF1
HLA-A	HLA-A
BRCA2	BRCA2
GSTP1	GSTP1
Brain-derived_neurotrophic_factor	BDNF
Cystic_fibrosis_transmembrane_conductance_regulator	CFTR
MMP2	MMP2
Mdm2	MDM2
Thrombin	F2
p21	CDKN1A
MYC	MYC
BRAF_(gene)	BRAF
Factor_V	F5
Leptin	LEP
Cyclin_D1	CCND1
Tau_protein	MAPT
Alpha-synuclein	SNCA
Janus_kinase_2	JAK2
Plasminogen_activator_inhibitor-1	SERPINE1
MAPK3	MAPK3
Telomerase_reverse_transcriptase	TERT
